Kind,Selected,Profile,Type,Address,Command,Data,ReadLength,DelayMs,PEC,Comment
Comment,,PMBus-CRPS,,,,,,,,Format=M032CSV; Source=button-suite; Suite=PMBus M-CRPS Full; PEC=False; Address=0x5A; DelayMs=10
Comment,,PMBus-CRPS,,,,,,,,Set the PMBus tab profile to the matching profile before Load/Run.
Comment,,PMBus-CRPS,,,,,,,,"CSV covers bus transactions. GUI-only assertions, dynamic read/restore checks, group write, ARA, and manual lab items remain in the PMBus Full button."
Command,1,PMBus-CRPS,SendByte,0x5A,0x03,,,10,0,Full preflight CLEAR_FAULTS
Command,1,PMBus-CRPS,BusRecover,0x5A,,,,10,0,Bus idle/recovery preflight
Comment,,PMBus-CRPS,,,,,,,,Basic checklist transaction coverage
Command,1,PMBus-CRPS,ReadByte,0x5A,0x98,,1,10,0,PMBUS_REVISION
Command,1,PMBus-CRPS,ReadByte,0x5A,0x98,,1,10,0,Repeated START read path
Command,1,PMBus-CRPS,ReadByte,0x5A,0x00,,1,10,0,PAGE baseline
Command,1,PMBus-CRPS,WriteByte,0x5A,0x00,00,,10,0,PAGE write smoke
Command,1,PMBus-CRPS,ReadByte,0x5A,0x00,,1,10,0,PAGE readback
Command,1,PMBus-CRPS,ReadByte,0x5A,0x01,,1,10,0,OPERATION baseline
Command,1,PMBus-CRPS,WriteByte,0x5A,0x01,80,,10,0,OPERATION write smoke
Command,1,PMBus-CRPS,ReadByte,0x5A,0x01,,1,10,0,OPERATION readback
Command,1,PMBus-CRPS,ReadByte,0x5A,0x02,,1,10,0,ON_OFF_CONFIG baseline
Command,1,PMBus-CRPS,WriteByte,0x5A,0x02,1A,,10,0,ON_OFF_CONFIG write smoke
Command,1,PMBus-CRPS,ReadByte,0x5A,0x02,,1,10,0,ON_OFF_CONFIG readback
Command,1,PMBus-CRPS,ReadByte,0x5A,0x3A,,1,10,0,FAN_CONFIG_1_2 baseline
Command,1,PMBus-CRPS,WriteByte,0x5A,0x3A,00,,10,0,FAN_CONFIG_1_2 write smoke
