Kind,Selected,Profile,Type,Address,Command,Data,ReadLength,DelayMs,PEC,Comment
Comment,,,,,,,,,,Format=CSV; Hex=CoderUpper; BreakOutBytes=False; PEC=False; SMBusWordCommandBytesOrderAsLowByteFirst=True; IncludeBlockLength=False [DO NOT REMOVE THIS LINE IF YOU WANT TO IMPORT USING A FUSION TOOL]
Comment,,,,,,,,,,"SMBus Fields are Request,Address,Command,Data"
Comment,,,,,,,,,,SMBus Word Command data bytes order is: <low-byte><high-byte>
Comment,,,,,,,,,,"For reads, the last field is what is expected back from the device"
Comment,,,,,,,,,,Creator: Texas Instruments Fusion Digital Power Designer v7.10.1
Comment,,,,,,,,,,Date: 2026.6.28.
Command,1,PMBus-CRPS,ReadByte,0x5A,0x98,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,BlockRead,0x5A,0x99,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,BlockRead,0x5A,0x9A,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x98,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,BlockRead,0x5A,0x99,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,BlockRead,0x5A,0x9A,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,SendByte,0x5A,0x03,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x98,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x98,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x00,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x00,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x01,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x01,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x01,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x02,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x02,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x3A,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,WriteByte,0x5A,0x3A,01,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x3A,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x3A,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x20,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadByte,0x5A,0x78,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
Command,1,PMBus-CRPS,ReadWord,0x5A,0x79,,,,0,
Pause,1,PMBus-CRPS,Pause,,,,,10,0,
